outcome,ipw_sin_diseno,p_sin,ipw_con_diseno,p_con,boot_ci_low,boot_ci_high
anemia,-0.027296422785094275,0.04726573246277251,-0.02559546919800105,0.11725388371506223,-0.050365938390617225,0.004371512877341214
anemia_modsev,-0.020167994338103536,0.017053770962032738,-0.02792440047725589,0.003264763028176824,-0.043412412352309054,-0.011262016623645621
hb_minsa,0.7693479202279531,0.013209360282683052,0.6538630871375121,0.07516212299714253,-0.03853806210016023,1.2398461986330476
hb_oms,0.7182737020196941,0.018781674012761998,0.6686098636771967,0.06522730292184371,0.0019386989339797414,1.2528489362696045
sev_anemia_score,-0.047464417123197815,0.013418151666718114,-0.05351986967525695,0.016536701259240828,-0.08754098928097423,-0.012844382905789643
