outcome,estimate,se,ci_low,ci_high,p_value,n_pairs,caliper
anemia,-0.03973013493253373,0.018074053732676246,-0.07515528024857918,-0.004304989616488293,0.027935841895865288,1334,0.17104150539700083
anemia_modsev,-0.025487256371814093,0.012348054772595941,-0.04968944372610214,-0.0012850690175260499,0.03901102648196586,1334,0.17104150539700083
hb_minsa,1.1049475262368815,0.39159566871808626,0.33742001554943246,1.8724750369243306,0.004777667688094178,1334,0.17104150539700083
hb_oms,1.0187406296851573,0.3870043599079925,0.26021208426549214,1.7772691751048226,0.008479019966254109,1334,0.17104150539700083
sev_anemia_score,-0.06521739130434782,0.025839970614451455,-0.11586373370867267,-0.014571048900022976,0.011606235051267122,1334,0.17104150539700083
