spec,outcome,estimate,p_value,w_max
clip_05_95,anemia,-0.027296422785094275,0.04726573246277251,6.546322542145308
clip_05_95,anemia_modsev,-0.020167994338103536,0.017053770962032738,6.546322542145308
clip_05_95,hb_minsa,0.7693479202279531,0.013209360282683052,6.546322542145308
clip_05_95,hb_oms,0.7182737020196941,0.018781674012761998,6.546322542145308
clip_05_95,sev_anemia_score,-0.047464417123197815,0.013418151666718114,6.546322542145308
clip_01_99,anemia,-0.0275487898745547,0.045477339731563995,8.071626805214459
clip_01_99,anemia_modsev,-0.020239323691107806,0.01665940638151112,8.071626805214459
clip_01_99,hb_minsa,0.7815486365062546,0.012383628852899222,8.071626805214459
clip_01_99,hb_oms,0.7309145344278069,0.017608389537842464,8.071626805214459
clip_01_99,sev_anemia_score,-0.04778811356566248,0.012872116955092676,8.071626805214459
clip_10_90,anemia,-0.022955057230780798,0.09258680871311459,3.494922887145103
clip_10_90,anemia_modsev,-0.019096702644302768,0.023601569390935093,3.494922887145103
clip_10_90,hb_minsa,0.6658995092563489,0.02850115963068207,3.494922887145103
clip_10_90,hb_oms,0.6020100089468223,0.0431350472645291,3.494922887145103
clip_10_90,sev_anemia_score,-0.04205175987508358,0.027186657421190637,3.494922887145103
clip_05_95_cap_p99,anemia,-0.021442083721888643,0.11475755464119454,2.809262929499781
clip_05_95_cap_p99,anemia_modsev,-0.018540636746595618,0.027229153834211574,2.809262929499781
clip_05_95_cap_p99,hb_minsa,0.6332313417495782,0.03615298219302699,2.809262929499781
clip_05_95_cap_p99,hb_oms,0.5624397494556633,0.056906513977994976,2.809262929499781
clip_05_95_cap_p99,sev_anemia_score,-0.03998272046848429,0.0348011261129772,2.809262929499781
