muestra,n,n_t,ipw_ate,ipw_p,nota
todos_complete_case (PATE-like),13971,3664,-0.0009424843563728885,0.8824115510691867,exploratorio; posible colisionador/selección
no_receptores,5171,554,0.008134496522995409,0.5208043770140391,exploratorio
receptores_con_dx_previo,2097,916,0.0016145567729656187,0.9381625406054689,sensibilidad; dx endógeno
