outcome,etiqueta,placebo_p,sub_ci_low,sub_ci_high,e_value
anemia,Anemia (RD),0.5391726192934251,-0.03877473954018017,-0.01429688798981276,1.363767087969859
anemia_modsev,Anemia moderada/severa (RD),0.41432609664663556,-0.027944950514173846,-0.011873218448213653,1.6867451758605443
hb_minsa,Hemoglobina MINSA (g/L),0.8735113003733515,0.48656756213475255,1.0268503405520009,1.338193652373706
hb_oms,Hemoglobina OMS (g/L),0.625215722554938,0.4590277982162843,0.9716207745419274,1.3286860568831926
sev_anemia_score,Índice de severidad,0.42038488957767706,-0.06396480485691106,-0.030440048546877194,1.3257725111188283
