ps_model,outcome,ipw_ate,ipw_p,aipw_ate,aipw_p,max_abs_smd
logit,anemia,-0.027296422785094275,0.04726573246277251,-0.0243373671011105,0.05875709835784493,0.038549072207441894
logit,anemia_modsev,-0.020167994338103536,0.017053770962032738,-0.01967911127059938,0.016024143043325,0.038549072207441894
logit,hb_minsa,0.7693479202279531,0.013209360282683052,0.6768396329657888,0.017841799819940052,0.038549072207441894
logit,hb_oms,0.7182737020196941,0.018781674012761998,0.6225524217812328,0.025625699664017176,0.038549072207441894
logit,sev_anemia_score,-0.047464417123197815,0.013418151666718114,-0.041593399771623116,0.01939113137381976,0.038549072207441894
gbm,anemia,-0.010457771191961462,0.4472682448168054,-0.019839499842448174,0.1251313537677876,0.06428378277535753
gbm,anemia_modsev,-0.013966590278998199,0.10571464937192583,-0.018650549115676263,0.024916562668650277,0.06428378277535753
gbm,hb_minsa,0.4100312714551444,0.1766276189654008,0.6536809814947454,0.0193816178183579,0.06428378277535753
gbm,hb_oms,0.346696894856267,0.24202487373293669,0.5903826156406276,0.030286468858115256,0.06428378277535753
gbm,sev_anemia_score,-0.024424361470959666,0.20531061779104431,-0.03820876209734388,0.03309372128363686,0.06428378277535753
