outcome,ate_mice_mean,ate_complete_case
anemia,-0.027115660224684434,-0.027296422785094164
anemia_modsev,-0.01846792134131573,-0.020167994338103484
hb_minsa,0.7616207599520988,0.7693479202279592
hb_oms,0.7149132207475373,0.718273702019699
sev_anemia_score,-0.045583581566000154,-0.04746441712319765
