subgrupo,n,n_t,ipw_ate,ipw_p,nnt
total,6703,2194,-0.020164385050796898,0.017065521908371278,50.0
urbano,4345,1419,-0.02049386892213945,0.03504133054508865,49.0
rural,2358,775,-0.018442534081804327,0.2693099450528923,55.0
quintil_4_5,1226,385,-0.005750002543645966,0.7046243903354205,174.0
quintil_1_3,5477,1809,-0.023628998709656422,0.016006161894157576,43.0
edad_6_11,1232,856,-0.05011449790004488,0.08225434921645791,20.0
edad_12_23,2030,571,-0.0018512657834097316,0.9136673150003873,541.0
edad_24_35,1570,436,-0.018440091438256395,0.1789201745699418,55.0
