T5_level,n,ipw_ate,ipw_p,ci_low,ci_high
1,5631,-0.018817927740033463,0.04084578387304348,-0.036852880427108624,-0.0007829750529583027
2,5320,0.007063204478907175,0.657302106991011,-0.024141933394424046,0.038268342352238395
3,4671,0.007083894187188973,0.7654451530489812,-0.03945536492634723,0.053623153300725174
4,4564,0.009955845883989683,0.817094434411368,-0.0744143916152152,0.09432608338319455
5,4553,0.11500957237919349,0.07218564802469256,-0.010366177013312855,0.24038532177169983
