outcome,etiqueta,ipw_sin_diarrea,ipw_p_sin,ipw_con_diarrea,ipw_p_con,delta_rd
anemia,Anemia (RD),-0.027296422785094164,0.04726573246277352,-0.027144023089995938,0.04850384652373561,-0.00015239969509822648
anemia_modsev,Anemia moderada/severa (RD),-0.020167994338103484,0.017053770962032876,-0.02003282157932126,0.017805233394025986,-0.00013517275878222393
hb_minsa,Hemoglobina MINSA (g/L),0.7693479202279592,0.013209360282682391,0.7626572157796818,0.013968466828262601,0.0066907044482773514
hb_oms,Hemoglobina OMS (g/L),0.718273702019699,0.018781674012761197,0.7119621091086863,0.019758400714179832,0.006311592911012687
sev_anemia_score,Índice de severidad,-0.04746441712319765,0.013418151666718593,-0.0471768446693172,0.013983522580355548,-0.00028757245388044694
