modelo,n,n_universo,ate,p,ci_low,ci_high,delta_vs_sate
IPW SATE confirmatorio (ref),6703,13971,-0.020229842977252558,0.01673731293200462,-0.03680317044797011,-0.0036565155065350075,0.0
IPW × transporte (IOSW-like),6703,13971,-0.021805202125554566,0.0026214014493773996,-0.036008826915089054,-0.007601577336020078,-0.001575359148302008
IPW × transporte × diseño,6703,13971,-0.026153280371160284,0.0014142869921272899,-0.04221372447056353,-0.010092836271757041,-0.005923437393907726
