modelo,ate,p,ci_low,ci_high,n,mean_pi_incluido,n_excluidos_modelo,signo_protegido,delta_vs_base
IPW tratamiento (base complete-case),-0.020167994338103536,0.017053770962032738,-0.03673831504883658,-0.003597673627370488,6703,0.9454051692559037,201,True,0.0
IPW tratamiento × 1/P(incluido|X),-0.02008941114101375,0.01746230100366478,-0.03665572186671634,-0.003523100415311165,6703,0.9454051692559037,201,True,7.858319708978559e-05
IPW × diseño,-0.02792440047725589,0.003264763028176824,-0.04653027111540915,-0.009318529839102623,6703,0.9454051692559037,201,True,-0.007756406139152353
IPW × diseño × 1/P(incluido|X),-0.027969064924562474,0.0031820018641198896,-0.04655451068266447,-0.00938361916646048,6703,0.9454051692559037,201,True,-0.007801070586458937
