outcome,etiqueta,ipw_design_ate,ipw_design_p,boot_ci_low,boot_ci_high,p_boot,ipw_no_design,ipw_no_design_p,aipw,aipw_p,matching_att,matching_p,matching_n_pairs,holm_p
anemia,Anemia (RD),-0.02559546919800105,0.11725388371506223,-0.050365938390617225,0.004371512877341214,0.08,-0.027296422785094275,0.04726573246277251,-0.0243373671011105,0.05875709835784493,-0.0345086271567892,0.056307168947699715,1333,0.19568190876553115
anemia_modsev,Anemia moderada/severa (RD),-0.02792440047725589,0.003264763028176824,-0.043412412352309054,-0.011262016623645621,0.008,-0.020167994338103536,0.017053770962032738,-0.01967911127059938,0.016024143043325,-0.024006001500375095,0.052100578519367335,1333,
hb_minsa,Hemoglobina MINSA (g/L),0.6538630871375121,0.07516212299714253,-0.03853806210016023,1.2398461986330476,0.06,0.7693479202279531,0.013209360282683052,0.6768396329657888,0.017841799819940052,1.0300075018754689,0.008618679917636873,1333,0.19568190876553115
hb_oms,Hemoglobina OMS (g/L),0.6686098636771967,0.06522730292184371,0.0019386989339797414,1.2528489362696045,0.048,0.7182737020196941,0.018781674012761998,0.6225524217812328,0.025625699664017176,0.9632408102025506,0.012870588203264255,1333,0.19568190876553115
sev_anemia_score,Índice de severidad,-0.05351986967525695,0.016536701259240828,-0.08754098928097423,-0.012844382905789643,0.02,-0.047464417123197815,0.013418151666718114,-0.041593399771623116,0.01939113137381976,-0.058514628657164294,0.023654322657482574,1333,0.06614680503696331
