moderador,coef_A,coef_Z,coef_AxZ,p_interaccion,n,nota
area,0.06333503148370774,-0.0419268034555458,-0.020900721607538107,0.2793248219778832,6703,OLS HC3 exploratorio (no IPW); test de heterogeneidad
quintil_4_5,0.05430996598251869,-0.05755047024301258,-0.028706556312521916,0.12455215465489705,6703,OLS HC3 exploratorio (no IPW); test de heterogeneidad
macro_sierra_vs_resto,0.055609410558638835,0.0538552175378011,-0.014187068843283086,0.4372622359143439,6703,OLS HC3 exploratorio (no IPW); test de heterogeneidad
