covariable,smd_pre,smd_post
edad_niño,-0.7197504432519742,0.02060683458566
niña,-0.004433295143628461,0.007201775585385033
bajo_peso=1,-0.008432706638983257,-0.012835369708038816
edad_madre,-0.0901155178989623,0.01199356425384159
educa_madre=2,0.015547794670414955,-0.00015210641084043434
educa_madre=3,0.023173832294830495,9.341525252367077e-05
madre_anemia,0.03904702015883606,0.006858079959961438
control_pren,0.09654329573714948,-0.0010230539492918197
quintil=2,0.009546850990360133,-0.006603043101943027
quintil=3,0.023607004690480486,-0.01937902577810384
quintil=4,-0.027478321864748193,0.018796313268724385
quintil=5,-0.00836569276311074,0.0028568930780426354
agua_potable,0.018770718297227238,0.009006494364275044
saneamiento,-0.012246547717213774,0.005779220433970136
area=1,-0.004522446032968383,0.010112748913382978
edad_niño_sq,0.012117065972491249,0.02304603714296222
edad_niño_cu,-0.6189006181914297,0.03854907220744138
