estrato_tipo,estrato,n,n_t,ipw_ate,ipw_p,nnt,nota
macro_region,costa,2575,848,-0.023885867641027538,0.04583207250193067,42.0,
macro_region,selva,1343,428,0.0014231672669084688,0.9373986796168139,703.0,
macro_region,sierra,2785,918,-0.025156068037807625,0.08880332302012936,40.0,
