estimando,estimate,p_value,ci_low,ci_high,nota
TE_IPW (total),-0.020167994338103474,0.017053770962032935,-0.0367383150488365,-0.0035976736273704464,PS sin diarrea
CDE_WLS (directo controlado A|M),-0.019963239205451476,0.017941172065437747,-0.0364947306884047,-0.0034317477224982545,Y~A+M con pesos IPW; exploratorio
NIE_approx (TE-CDE),-0.00020475513265199793,,,,aproximación diferencia; no g-fórmula
T_to_M (IPW diarrea),-0.003551268316982546,0.7246151098927645,-0.02330867365321808,0.016206137019252984,efecto exposición→mediador
prop_mediada_approx,0.010152478685753755,,,,NIE/TE aproximado
