modelo,ate,p,ci_low,ci_high
PS survey-weighted + IPW,-0.01969094187322012,0.018904502445878234,-0.03613215428059961,-0.0032497294658406332
PS survey-weighted + IPW×diseño,-0.027041504906656803,0.004121980548424718,-0.045517418518347605,-0.008565591294966004
