spec_id,etiqueta,n,n_consumo,n_sin_consumo,prev_ajustada_consumo,prev_ajustada_sin_consumo,estimate,hc3_ci_low,hc3_ci_high,hc3_p,boot_ci_low,boot_ci_high,boot_n,inferencia,n_faltantes_toma_pop,delta_vs_principal,n_excluidos_modelo,mean_pi_incluido
principal,Principal: receptores sin diagnóstico previo,6703,2194,4509,0.09293244273572975,0.12085684321298557,-0.027924400477255855,-0.04653027111540915,-0.00931852983910256,0.0032647630281769104,-0.044852171278484315,-0.011683413032260897,2000,bootstrap percentil,,,,
departamental,Con ajuste departamental,6703,2194,4509,0.09618385002221035,0.12043316912745482,-0.02424931910524447,-0.043622421250988135,-0.004876216959500808,0.014153935239826963,-0.04105576015823922,-0.006753264480506681,2000,bootstrap percentil,,,,
sin_restriccion,"Todos los receptores, sin restricción por diagnóstico",8800,3110,5690,0.13721066080684838,0.14626611834493708,-0.009055457538088724,-0.027714299218060283,0.009603384141882833,0.3414917994959409,-0.026422276026210344,0.009472184571032985,2000,bootstrap percentil,,,,
consumo_12m,Exposición alternativa: consumo reportado en 12 meses,6703,5992,711,0.11205280969658053,0.08789034106008196,0.024162468636498548,-0.0017590691889410627,0.050084006461938155,0.06770099374772769,-0.0015959936665024173,0.04713605981838222,2000,bootstrap percentil,,,,
faltantes_missing,Faltantes de toma tratados como missing,6701,2194,4507,0.09294801891613488,0.12089096166062124,-0.02794294274448635,-0.04655192481193551,-0.009333960677037182,0.0032493933925432884,,,0,HC3,2.0,-1.854226723049454e-05,,
inclusion_ipw,Reponderación por probabilidad de caso completo,6703,2194,4509,0.09278955310042312,0.12075861802498555,-0.027969064924562418,-0.04655451068266438,-0.009383619166460456,0.0031820018641199026,,,0,HC3,,,201.0,0.9454051692559037
